Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
JN595867.1,Norovirus Hu/GII.4/New Orleans/2010/USA,GenBank,set:JN595867,"Vega,E., Barclay,L., Donaldson,E., Baric,R., Vinje,J.","Centers for Disease Control and Prevention, National Calicivirus Laboratory",USA,2012-01-22,,Norwalk virus,7559,complete,USA,,Homo sapiens,feces,2010-05
JQ247200.1,Influenza A virus (A/Philippines/TMC11-12/2011(H1N1)),GenBank,set:dc3c8263f33a6a110b4e7a49f31a4570569865a5,"Schwem,B.E., Ganchua,S.K., Salvana,E.M.T., Destura,R.V.","National Institutes of Health, University of the Philippines-Manila, Institute of Molecular Biology and Biotechnology",Philippines,2012-01-11,,Alphainfluenzavirus influenzae,1438,complete,Philippines,,Homo sapiens,,2011-01-11
JQ247201.1,Influenza A virus (A/Philippines/TMC10-144/2010(H1N1)),GenBank,set:d79b7ac212da4658d9307e7d44cb9adf44fcbdf3,"Schwem,B.E., Ganchua,S.K., Salvana,E.M.T., Destura,R.V.","National Institutes of Health, University of the Philippines-Manila, Institute of Molecular Biology and Biotechnology",Philippines,2012-01-11,,Alphainfluenzavirus influenzae,1445,complete,Philippines,,Homo sapiens,,2010-12-21
JQ247207.1,Influenza A virus (A/Philippines/TMC10-59/2010(H1N1)),GenBank,set:4d885399b2f46d7f7105b9ca9e44da3f614f41b6,"Schwem,B.E., Ganchua,S.K., Salvana,E.M.T., Destura,R.V.","National Institutes of Health, University of the Philippines-Manila, Institute of Molecular Biology and Biotechnology",Philippines,2012-01-11,,Alphainfluenzavirus influenzae,990,complete,Philippines,,Homo sapiens,,2010-08-03
JQ247208.1,Influenza A virus (A/Philippines/TMC10-60/2010(H1N1)),GenBank,set:2caa014eff653dd8f3683411e1c7f272fad5127f,"Schwem,B.E., Ganchua,S.K., Salvana,E.M.T., Destura,R.V.","National Institutes of Health, University of the Philippines-Manila, Institute of Molecular Biology and Biotechnology",Philippines,2012-01-11,,Alphainfluenzavirus influenzae,990,complete,Philippines,,Homo sapiens,,2010-08-03
JQ247209.1,Influenza A virus (A/Philippines/TMC10-62/2010(H1N1)),GenBank,set:3f68f20a057e976a7debae051074c5ee1e8deac0,"Schwem,B.E., Ganchua,S.K., Salvana,E.M.T., Destura,R.V.","National Institutes of Health, University of the Philippines-Manila, Institute of Molecular Biology and Biotechnology",Philippines,2012-01-11,,Alphainfluenzavirus influenzae,987,complete,Philippines,,Homo sapiens,,2010-08-04
JQ247211.1,Influenza A virus (A/Philippines/TMC11-37/2011(H1N1)),GenBank,set:1b07a742421ea3b7e33f9c94d5d6e9b91ae5d8bf,"Schwem,B.E., Ganchua,S.K., Salvana,E.M.T., Destura,R.V.","National Institutes of Health, University of the Philippines-Manila, Institute of Molecular Biology and Biotechnology",Philippines,2012-01-11,,Alphainfluenzavirus influenzae,982,complete,Philippines,,Homo sapiens,,2011-07-21
JQ247212.1,Influenza A virus (A/Philippines/TMC11-55/2011(H1N1)),GenBank,set:266442ab09c648c417ae112563310d2ed203b097,"Schwem,B.E., Ganchua,S.K., Salvana,E.M.T., Destura,R.V.","National Institutes of Health, University of the Philippines-Manila, Institute of Molecular Biology and Biotechnology",Philippines,2012-01-11,,Alphainfluenzavirus influenzae,992,complete,Philippines,,Homo sapiens,,2011-08-29
JQ247213.1,Influenza A virus (A/Philippines/TMC11-36/2011(H1N1)),GenBank,set:5f4d02b40760f34ff99cd6ec8d7de45bf0f3f55d,"Schwem,B.E., Ganchua,S.K., Salvana,E.M.T., Destura,R.V.","National Institutes of Health, University of the Philippines-Manila, Institute of Molecular Biology and Biotechnology",Philippines,2012-01-11,,Alphainfluenzavirus influenzae,1455,complete,Philippines,,Homo sapiens,,2011-07-19
JQ247216.1,Influenza A virus (A/Philippines/TMC10-83/2010(H3N2)),GenBank,set:7360343d84fee8a5207330af1fa818c7d052601a,"Schwem,B.E., Ganchua,S.K., Salvana,E.M.T., Destura,R.V.","National Institutes of Health, University of the Philippines-Manila, Institute of Molecular Biology and Biotechnology",Philippines,2012-01-11,,Alphainfluenzavirus influenzae,986,complete,Philippines,,Homo sapiens,,2010-08-21
JF764082.1,Influenza A virus (A/India/Blore/2010(H1N1)),GenBank,GCA_038581785.1,"Sharma,S., Joshi,G., Dash,P.K., Thomas,M., Athmaram,T.N., Kumar,J.S., Desai,A., Vasanthapuram,R., Patro,I.K., Rao,P.V., Parida,M., Shukla,J., Dash,P., Rao,P.","DRDE, Virology",India,2012-01-01,,Alphainfluenzavirus influenzae,982,complete,India,,Homo sapiens,oronasopharynx,2010-03-22
JF764083.1,Influenza A virus (A/India/GWL_DSC/2010(H1N1)),GenBank,GCA_038592645.1,"Sharma,S., Joshi,G., Dash,P.K., Thomas,M., Athmaram,T.N., Kumar,J.S., Desai,A., Vasanthapuram,R., Patro,I.K., Rao,P.V., Parida,M., Shukla,J., Dash,P., Rao,P.","DRDE, Virology",India,2012-01-01,,Alphainfluenzavirus influenzae,863,complete,India,,Homo sapiens,oronasopharynx,2010-09-09
JF710592.1,Influenza A virus (A/Vietnam/26-1/2009(H5N1)),GenBank,set:4808a6fe381245f853794edb52c9f655bc34f245,"Nguyen,K.D., Nguyen,V.T., Ngo,C.C., Le,H.T., Cao,V.","Pasteur Institute in Hochiminh City, Molecular Biology",Viet Nam,2011-12-31,,Alphainfluenzavirus influenzae,508,complete,Viet Nam,,Homo sapiens,,2009
JN389446.1,Influenza A virus (A/Jakarta/001/2009(H1N1)),GenBank,set:52a9c0d2ea68bdd37b019d59e01b723281380977,"Yasmon,A., Yulianti, Dewi,B.E., Bela,B., Ibrahim,F.","Faculty of Medicine University of Indonesia, Microbiology",Indonesia,2011-12-31,,Alphainfluenzavirus influenzae,1701,complete,Indonesia: Jakarta,,Homo sapiens,,2009-07-30
JN412818.1,Influenza A virus (A/Jakarta/002/2009(H1N1)),GenBank,set:4b0442fbf060421f2f6c428b5497cc63b1304df8,"Yasmon,A., Yulianty, Dewi,B.E., Bela,B., Ibrahim,F.","Faculty of Medicine University of Indonesia, Microbiology",Indonesia,2011-12-31,,Alphainfluenzavirus influenzae,1701,complete,Indonesia: Jakarta,,Homo sapiens,,2009-07-12
JN412821.1,Influenza A virus (A/Jakarta/005/2009(H1N1)),GenBank,set:235b17e6d292fae97f57513c4f6dacc26a2f20f8,"Yasmon,A., Yulianty, Dewi,B.E., Bela,B., Ibrahim,F.","Faculty of Medicine University of Indonesia, Microbiology",Indonesia,2011-12-31,,Alphainfluenzavirus influenzae,1701,complete,Indonesia: Jakarta,,Homo sapiens,,2009-07-30
JN412822.1,Influenza A virus (A/Jakarta/006/2009(H1N1)),GenBank,set:1dc405bc526273d8f48715461a086a5d490fa652,"Yasmon,A., Yulianty, Dewi,B.E., Bela,B., Ibrahim,F.","Faculty of Medicine University of Indonesia, Microbiology",Indonesia,2011-12-31,,Alphainfluenzavirus influenzae,1701,complete,Indonesia: Jakarta,,Homo sapiens,,2009-07-30
JN412823.1,Influenza A virus (A/Jakarta/007/2009(H1N1)),GenBank,set:fa3e34d161850b4e277e3c0546a473c9ff5f0d22,"Yasmon,A., Yulianty, Dewi,B.E., Bela,B., Ibrahim,F.","Faculty of Medicine University of Indonesia, Microbiology",Indonesia,2011-12-31,,Alphainfluenzavirus influenzae,1701,complete,Indonesia: Jakarta,,Homo sapiens,,2009-08-03
JN412824.1,Influenza A virus (A/Jakarta/008/2009(H1N1)),GenBank,set:847d53e28156c13e36a587f4f8948a5d4ccb4a93,"Yasmon,A., Yulianty, Dewi,B.E., Bela,B., Ibrahim,F.","Faculty of Medicine University of Indonesia, Microbiology",Indonesia,2011-12-31,,Alphainfluenzavirus influenzae,1701,complete,Indonesia: Jakarta,,Homo sapiens,,2009-08-06
JN412825.1,Influenza A virus (A/Jakarta/009/2009(H1N1)),GenBank,set:491b3508105f012f816c35469c7e549d21ad4494,"Yasmon,A., Yulianty, Dewi,B.E., Bela,B., Ibrahim,F.","Faculty of Medicine University of Indonesia, Microbiology",Indonesia,2011-12-31,,Alphainfluenzavirus influenzae,1701,complete,Indonesia: Jakarta,,Homo sapiens,,2009-08-06
JQ173100.1,Influenza A virus (A/Nanjing/NJU-108/2009(H1N1)),GenBank,GCA_038564845.1,"Gao,W., Sun,W., Qu,B., Cardona,C.J., Powell,K., Wegner,M., Shi,Y., Xing,Z.","College of Veterinary Medicine, University of Minnesota at Twin Cities, Veterinary Biomedical Sciences",USA,2011-12-25,,Alphainfluenzavirus influenzae,2280,complete,China,,Homo sapiens,,2009-10-30
JQ173145.1,Influenza A virus (A/Helsinki/P14/2009(H1N1)),GenBank,GCA_038547785.1,"Lakspere,T., Tynell,J., Kaloinen,M., Vanlede,M., Parsons,A., Ikonen,N., Kallio-Kokko,H., Kantele,A., Mattila,P., Almusa,H., Julkunen,I., Kainov,D., Kakkola,L.","FIMM, University of Helsinki",Finland,2011-12-25,,Alphainfluenzavirus influenzae,2293,complete,Finland: Helsinki,,Homo sapiens,,2009-07-27
JQ173153.1,Influenza A virus (A/Helsinki/P15/2009(H1N1)),GenBank,GCA_038522855.1,"Lakspere,T., Tynell,J., Kaloinen,M., Vanlede,M., Parsons,A., Ikonen,N., Kallio-Kokko,H., Kantele,A., Mattila,P., Almusa,H., Julkunen,I., Kainov,D., Kakkola,L.","FIMM, University of Helsinki",Finland,2011-12-25,,Alphainfluenzavirus influenzae,2293,complete,Finland: Helsinki,,Homo sapiens,,2009-05-10
JQ173161.1,Influenza A virus (A/Helsinki/P18/2009(H1N1)),GenBank,GCA_038570215.1,"Lakspere,T., Tynell,J., Kaloinen,M., Vanlede,M., Parsons,A., Ikonen,N., Kallio-Kokko,H., Kantele,A., Mattila,P., Almusa,H., Julkunen,I., Kainov,D., Kakkola,L.","FIMM, University of Helsinki",Finland,2011-12-25,,Alphainfluenzavirus influenzae,2293,complete,Finland: Helsinki,,Homo sapiens,,2009-11-25
JN415117.1,Human alphaherpesvirus 1,GenBank,set:JN415117,"Andrei,G., Lisco,A., Vanpouille,C., Introini,A., Balestra,E., van den Oord,J., Cihlar,T., Perno,C.F., Snoeck,R., Margolis,L., Balzarini,J., Opdenakker,G., Fiten,P., Carmans,S., Gillemot,S.","Rega Institute for Medical Research, Microbiology and Immunology",Belgium,2011-12-21,,Simplexvirus humanalpha1,1131,complete,Belgium,,Homo sapiens,,2010
JN415120.1,Human alphaherpesvirus 2,GenBank,set:JN415120,"Andrei,G., Lisco,A., Vanpouille,C., Introini,A., Balestra,E., van den Oord,J., Cihlar,T., Perno,C.F., Snoeck,R., Margolis,L., Balzarini,J., Opdenakker,G., Fiten,P., Carmans,S., Gillemot,S.","Rega Institute for Medical Research, Microbiology and Immunology",Belgium,2011-12-21,,Simplexvirus humanalpha2,1130,complete,Belgium,,Homo sapiens,,1991
JN408064.1,Lake Victoria marburgvirus - Leiden,GenBank,set:JN408064,"van Paassen,J., Bauer,M.P., Arbous,M.S., Visser,L.G., Schmidt-Chanasit,J., Schilling,S., Olschlager,S., Rieger,T., Emmerich,P., Schmetz,C., van de Berkmortel,F., van Hoek,B., van Burgel,N.D., Osterhaus,A.D., Vossen,A.C., Gunther,S., van Dissel,J.T.","Bernhard Nocht Institute for Tropical Medicine, Department of Virology",Germany,2011-12-19,,Orthomarburgvirus marburgense,19113,complete,Netherlands,,Homo sapiens,blood,2008
JN588558.1,Hepatitis C virus genotype 3,GenBank,set:JN588558,"Kanwal,N., Manzoor,S., Fatima,K., Paracha,R.Z., Javed,F., Tahir,S., Sadaf Zaidi,N.U.S., Qadri,I.","National University of Sciences & Technology, NUST Center of Virology & Immunology",Pakistan,2011-12-11,,Hepacivirus hominis,9449,complete,Pakistan,,Homo sapiens,blood,2009-12
JN896300.1,Influenza A virus (A/Hue/6/2009(H1N1)),GenBank,set:6699b9821ea9f3a3e2134cb1fee81810111735d1,"An,L.V., Bach,N.H., Chi,L.T.B., Duong,H.T., Alberti,A., Cappuccinelli,P.A.","Hue College of Medicine and Pharmacy, Medical Microbiology - Carlo Urbani Laboratory, Carlo Urbani Centre",Viet Nam,2011-11-20,,Alphainfluenzavirus influenzae,1721,complete,Viet Nam: Hue,,Homo sapiens,oronasopharynx,2009-10-14
JN896302.1,Influenza A virus (A/Hue/10/2009(H1N1)),GenBank,set:c975da930d29eaad76dcfe987ba254326fbdd4aa,"An,L.V., Bach,N.H., Chi,L.T.B., Duong,H.T., Alberti,A., Cappuccinelli,P.A.","Hue College of Medicine and Pharmacy, Medical Microbiology - Carlo Urbani Laboratory, Carlo Urbani Centre",Viet Nam,2011-11-20,,Alphainfluenzavirus influenzae,1721,complete,Viet Nam: Hue,,Homo sapiens,oronasopharynx,2009-10-16
JN935017.1,Influenza A virus (A/Hue/7/2009(H1N1)),GenBank,set:d8369b3b2d374b39146e46b3b9e310d28c90405b,"An,L.V., Bach,N.H., Chi,L.T.B., Duong,H.T., Alberti,A., Cappuccinelli,P.A.","Hue College of Medicine and Pharmacy, Medical Microbiology - Carlo Urbani Laboratory, Carlo Urbani Centre",Viet Nam,2011-11-20,,Alphainfluenzavirus influenzae,1721,complete,Viet Nam: Hue,,Homo sapiens,oronasopharynx,2009-10-14
JN171845.1,human papillomavirus 153,GenBank,set:JN171845,"Sturegard,E., Johansson,H.K., Johnsson,A., Gustafsson,E., Dillner,J., Forslund,O.","Laboratory Medicine Malmoe, Lund University, Clinical Microbiology",Sweden,2011-11-13,,Gammapapillomavirus 13,7240,complete,Sweden,,Homo sapiens,lesion_tumor,
AB630068.3,Sapovirus Hu/20082029/2008/JP,GenBank,set:AB630068,"Oka,T., Mori,K., Iritani,N., Harada,S., Ueki,Y., Iizuka,S., Mise,K., Murakami,K., Wakita,T., Katayama,K., Doan,Y.H., Haga,K.","Division of Microbiology; 1240-1,kurisaki-machi, Uto-chi, Kumamoto 869-0425",Japan,2011-11-11,,Sapporo virus,7475,complete,Japan:Kumamoto,,Homo sapiens,feces,2008-05
JF811580.1,Pteropine orthoreovirus Sikamat/MYS/2010,GenBank,set:84b8715ea989e7584ec46b98e99daa7fc4a02281,"Chua,K.B., Voon,K., Yu,M., Keniscope,C., Abdul Rasid,K., Wang,L.F., Chua,K., Wang,L.","International Medical University, Pathology",Malaysia,2011-11-08,,Nelson Bay orthoreovirus,1603,complete,Malaysia,,Homo sapiens,,2010-03
JN863077.1,Influenza A virus (A/Taizhou/09/2009(H1N1)),GenBank,set:b6ef58b044042e51d7ac78e685f3b975068057de,"Young,N.Z., Mao,G., Liu,Y., Li,X., Liu,C., Liu,F.",Taizhou Institute of Virology,China,2011-11-05,,Alphainfluenzavirus influenzae,1777,complete,China: Jiangsu,,Homo sapiens,oronasopharynx,2009-12-09
JN588774.1,Influenza A virus (A/Cambodia/T028/2009(H1N1)),GenBank,set:dd22ddc45730c041dc7dcd42a6c05583987ad1ed,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.","Institut Pasteur in Cambodia, Virology Unit",Cambodia,2011-11-01,,Alphainfluenzavirus influenzae,1701,complete,Cambodia: Phnom Penh,,Homo sapiens,,2009-06-22
JN588775.1,Influenza A virus (A/Cambodia/T057/2009(H1N1)),GenBank,set:545d7dcf89650f64158e40afd4e85fa1546e1348,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.","Institut Pasteur in Cambodia, Virology Unit",Cambodia,2011-11-01,,Alphainfluenzavirus influenzae,1701,complete,Cambodia: Phnom Penh,,Homo sapiens,,2009-08-01
JN588776.1,Influenza A virus (A/Cambodia/T068/2009(H1N1)),GenBank,set:a47b422eade790bf327762e6e2f8e52ede75351b,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.","Institut Pasteur in Cambodia, Virology Unit",Cambodia,2011-11-01,,Alphainfluenzavirus influenzae,1701,complete,Cambodia: Kampong Speu,,Homo sapiens,,2009-09-05
JN588777.1,Influenza A virus (A/Cambodia/T075/2009(H1N1)),GenBank,set:c1132492278033670f529df3f4fbdb57fa3a34d1,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.","Institut Pasteur in Cambodia, Virology Unit",Cambodia,2011-11-01,,Alphainfluenzavirus influenzae,1701,complete,Cambodia: Siem Reap,,Homo sapiens,,2009-06-25
JN588778.1,Influenza A virus (A/Cambodia/T093/2009(H1N1)),GenBank,set:741582d57cbc087428084c0b212f3e9acf87603c,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.","Institut Pasteur in Cambodia, Virology Unit",Cambodia,2011-11-01,,Alphainfluenzavirus influenzae,1701,complete,Cambodia: Siem Reap,,Homo sapiens,,2009-07-07
JN588779.1,Influenza A virus (A/Cambodia/T154/2009(H1N1)),GenBank,set:9c9856a2855bb1d70071c2ad359a48c379ba0201,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.","Institut Pasteur in Cambodia, Virology Unit",Cambodia,2011-11-01,,Alphainfluenzavirus influenzae,1701,complete,Cambodia: Phnom Penh,,Homo sapiens,,2009-08-17
JN588780.1,Influenza A virus (A/Cambodia/T155/2009(H1N1)),GenBank,set:059286861a3613a404ac80974fe74b3c3b2c1777,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.","Institut Pasteur in Cambodia, Virology Unit",Cambodia,2011-11-01,,Alphainfluenzavirus influenzae,1701,complete,Cambodia: Phnom Penh,,Homo sapiens,,2009-06-24
JN588781.1,Influenza A virus (A/Cambodia/T156/2009(H1N1)),GenBank,set:40a02a241e370e366d846eb03f4cebb8c0b4a393,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.","Institut Pasteur in Cambodia, Virology Unit",Cambodia,2011-11-01,,Alphainfluenzavirus influenzae,1701,complete,Cambodia: Phnom Penh,,Homo sapiens,,2009-06-24
JN588782.1,Influenza A virus (A/Cambodia/T217/2009(H1N1)),GenBank,set:3cfbeda3caaee8a6dde46e2436e7944ca31d9c25,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.","Institut Pasteur in Cambodia, Virology Unit",Cambodia,2011-11-01,,Alphainfluenzavirus influenzae,1701,complete,Cambodia: Kandal,,Homo sapiens,,2009-08-30
JN588783.1,Influenza A virus (A/Cambodia/T234/2009(H1N1)),GenBank,set:5ed8ac6acf5976be189d6af2b7e3261613832a65,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.","Institut Pasteur in Cambodia, Virology Unit",Cambodia,2011-11-01,,Alphainfluenzavirus influenzae,1701,complete,Cambodia: Siem Reap,,Homo sapiens,,2009-11-10
JN588784.1,Influenza A virus (A/Cambodia/T272/2009(H1N1)),GenBank,set:a34520bcbae5c96cdab182820e1eb2703c111309,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.","Institut Pasteur in Cambodia, Virology Unit",Cambodia,2011-11-01,,Alphainfluenzavirus influenzae,1701,complete,Cambodia: Phnom Penh,,Homo sapiens,,2009-06-25
JN588785.1,Influenza A virus (A/Cambodia/T282/2009(H1N1)),GenBank,set:7172d6cde0ff6d861a4a5fabe347458cdb20b418,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.","Institut Pasteur in Cambodia, Virology Unit",Cambodia,2011-11-01,,Alphainfluenzavirus influenzae,1701,complete,Cambodia: Phnom Penh,,Homo sapiens,,2009-07-02
JN588786.1,Influenza A virus (A/Cambodia/T320/2009(H1N1)),GenBank,set:1895d6c678a8733cb92fc7fd5272e64b469cad39,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.","Institut Pasteur in Cambodia, Virology Unit",Cambodia,2011-11-01,,Alphainfluenzavirus influenzae,1701,complete,Cambodia: Kandal,,Homo sapiens,,2009-09-10
JN588787.1,Influenza A virus (A/Cambodia/T354/2009(H1N1)),GenBank,set:f182107f96fc366e16b8943acdcfd7ad2ec92f28,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.","Institut Pasteur in Cambodia, Virology Unit",Cambodia,2011-11-01,,Alphainfluenzavirus influenzae,1701,complete,Cambodia: Battam Bong,,Homo sapiens,,2009-09-11
JN588788.1,Influenza A virus (A/Cambodia/U045/2010(H1N1)),GenBank,set:dc0542ed4fd001904cbce5fef53340c30eada992,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.","Institut Pasteur in Cambodia, Virology Unit",Cambodia,2011-11-01,,Alphainfluenzavirus influenzae,1701,complete,Cambodia: Phnom Penh,,Homo sapiens,,2010-06-26
JN588789.1,Influenza A virus (A/Cambodia/U094/2010(H1N1)),GenBank,set:2873be655fb1689ae4ae18a26df4a5b14148e893,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.","Institut Pasteur in Cambodia, Virology Unit",Cambodia,2011-11-01,,Alphainfluenzavirus influenzae,1701,complete,Cambodia: Kampong Thom,,Homo sapiens,,2010-01-04
JN588790.1,Influenza A virus (A/Cambodia/U099/2010(H1N1)),GenBank,set:0a0aef61ef13ec0e0d9955078e16fd22369fbfad,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.","Institut Pasteur in Cambodia, Virology Unit",Cambodia,2011-11-01,,Alphainfluenzavirus influenzae,1701,complete,Cambodia: Phnom Penh,,Homo sapiens,,2010-03-15
JN588791.1,Influenza A virus (A/Cambodia/U127/2010(H1N1)),GenBank,set:e6e353fc5fa548dd30842fd65e12e91f29cffea9,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.","Institut Pasteur in Cambodia, Virology Unit",Cambodia,2011-11-01,,Alphainfluenzavirus influenzae,1701,complete,Cambodia: Kampong Cham,,Homo sapiens,,2010-02-24
JN588792.1,Influenza A virus (A/Cambodia/U132/2010(H1N1)),GenBank,set:69d1357812421575e0903b7863fda70d559156aa,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.","Institut Pasteur in Cambodia, Virology Unit",Cambodia,2011-11-01,,Alphainfluenzavirus influenzae,1701,complete,Cambodia: Battam Bong,,Homo sapiens,,2010-03-16
JN588793.1,Influenza A virus (A/Cambodia/U216/2010(H1N1)),GenBank,set:aaaf1133c73fb4d0d52bead34cbcc12de69076ee,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.","Institut Pasteur in Cambodia, Virology Unit",Cambodia,2011-11-01,,Alphainfluenzavirus influenzae,1701,complete,Cambodia: Pailin,,Homo sapiens,,2010-02-09
